human,cause,country,birthdate,deathdate,gender_label,religion,occupation
Abu Mahdi al-Muhandis,homicide,Kingdom of Iraq,1954-07-01T00:00:00Z,2020-01-03T00:00:00Z,male,Islam,engineer
Gottfried Wilhelm Leibniz,natural causes,Germany,1646-07-01T00:00:00Z,1716-11-14T00:00:00Z,male,Lutheranism,engineer
Julius Dorpmüller,natural causes,Germany,1869-07-24T00:00:00Z,1945-07-05T00:00:00Z,male,Lutheranism,engineer
James Clerk Maxwell,natural causes,United Kingdom of Great Britain and Ireland,1831-06-13T00:00:00Z,1879-11-05T00:00:00Z,male,Christian socialism,engineer
Robert Allen Pease,accident,United States of America,1940-08-22T00:00:00Z,2011-06-18T00:00:00Z,male,Episcopal Church,engineer
Wernher von Braun,natural causes,Nazi Germany,1912-03-23T00:00:00Z,1977-06-16T00:00:00Z,male,Lutheranism,engineer
John C. Frémont,natural causes,United States of America,1813-01-21T00:00:00Z,1890-07-13T00:00:00Z,male,Episcopal Church,engineer
Wernher von Braun,natural causes,United States of America,1912-03-23T00:00:00Z,1977-06-16T00:00:00Z,male,Lutheranism,engineer
Charles Lindbergh,natural causes,United States of America,1902-02-04T00:00:00Z,1974-08-26T00:00:00Z,male,Lutheranism,engineer
George Washington,natural causes,Great Britain,1732-02-22T00:00:00Z,1799-12-14T00:00:00Z,male,Episcopal Church,engineer
Wernher von Braun,natural causes,German Empire,1912-03-23T00:00:00Z,1977-06-16T00:00:00Z,male,Lutheranism,engineer
Ben Klassen,suicide,United States of America,1918-02-20T00:00:00Z,1993-08-06T00:00:00Z,male,Creativity,engineer
Abu Mahdi al-Muhandis,homicide,Iraq,1954-07-01T00:00:00Z,2020-01-03T00:00:00Z,male,Islam,engineer
Fritz Haber,natural causes,German Empire,1868-12-09T00:00:00Z,1934-01-29T00:00:00Z,male,Lutheranism,engineer
James Clerk Maxwell,natural causes,United Kingdom,1831-06-13T00:00:00Z,1879-11-05T00:00:00Z,male,Christian socialism,engineer
Fazlur Khan,natural causes,Pakistan,1929-04-03T00:00:00Z,1982-03-27T00:00:00Z,male,Islam,engineer
Gottfried Wilhelm Leibniz,natural causes,Holy Roman Empire,1646-07-01T00:00:00Z,1716-11-14T00:00:00Z,male,Lutheranism,engineer
Wernher von Braun,natural causes,Weimar Republic,1912-03-23T00:00:00Z,1977-06-16T00:00:00Z,male,Lutheranism,engineer
George Washington,natural causes,United States of America,1732-02-22T00:00:00Z,1799-12-14T00:00:00Z,male,Episcopal Church,engineer
Jamaluddin Jarjis,accident,Malaysia,1951-05-25T00:00:00Z,2015-04-04T00:00:00Z,male,Islam,engineer
Fritz Haber,natural causes,Weimar Republic,1868-12-09T00:00:00Z,1934-01-29T00:00:00Z,male,Lutheranism,engineer
Novalis,natural causes,Electorate of Saxony,1772-05-02T00:00:00Z,1801-03-25T00:00:00Z,male,Lutheranism,engineer
Al-Mustarshid,homicide,Abbasid Caliphate,1092-04-07T00:00:00Z,1135-09-05T00:00:00Z,male,Sunni Islam,caliph
Beverly Wefel,natural causes,United States of America,1934-01-01T00:00:00Z,2020-04-04T00:00:00Z,female,Lutheranism,secretary
Mary Jo Kopechne,accident,United States of America,1940-07-26T00:00:00Z,1969-07-18T00:00:00Z,female,Catholic Church,secretary
Gloria Jameson,natural causes,United States of America,1929-06-28T00:00:00Z,2020-04-16T00:00:00Z,female,Catholicism,secretary
Barbara J. Norris,natural causes,United States of America,1929-09-17T00:00:00Z,2020-04-25T00:00:00Z,female,United Methodist Church,secretary
Al-Mustarshid,homicide,Abbasid Caliphate,1092-04-07T00:00:00Z,1135-09-05T00:00:00Z,male,Islam,caliph
Diana G. DeVito Swist,natural causes,United States of America,1940-01-30T00:00:00Z,2020-05-13T00:00:00Z,female,Catholicism,secretary
Mary Jo Kopechne,accident,United States of America,1940-07-26T00:00:00Z,1969-07-26T00:00:00Z,female,Catholic Church,secretary
Jessie Cooper,natural causes,Australia,1914-06-29T00:00:00Z,1993-12-28T00:00:00Z,female,Presbyterian Church of Australia,secretary
Gerry Ellis,natural causes,United States of America,1928-01-01T00:00:00Z,2020-04-18T00:00:00Z,female,Episcopal Church,secretary
Gerry Ellis,natural causes,United States of America,1928-01-01T00:00:00Z,2020-04-18T00:00:00Z,female,United Church of Christ,secretary
Saitô Kichi,suicide,Japan,1841-12-22T00:00:00Z,1890-03-27T00:00:00Z,female,Buddhism,geisha
